Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
176, Joliet, Illinois, 148099, 147433, +0.45%, 64.4, 166.8, 2302, 889, 41°31′04″N 88°08′56″W, 
177, Bellevue, Washington, 147599, 122363, +20.62%, 33.5, 86.8, 4221, 1630, 47°35′52″N 122°09′23″W, 
178, Rockford, Illinois, 146526, 152871, −4.15%, 63.5, 164.5, 2325, 898, 42°15′32″N 89°03′53″W, 
179, Savannah, Georgia, 145862, 136286, +7.03%, 103.6, 268.3, 1417, 547, 32°00′09″N 81°09′13″W, 
180, Paterson, New Jersey, 145627, 146199, −0.39%, 8.4, 21.8, 17500, 6800, 40°54′53″N 74°09′46″W, 
181, Torrance, California, 145182, 145438, −0.18%, 20.5, 53.1, 7180, 2770, 33°50′06″N 118°20′29″W, 
182, Bridgeport, Connecticut, 144900, 144229, +0.47%, 16.1, 41.7, 9064, 3500, 41°11′15″N 73°11′45″W, 
183, McAllen, Texas, 143433, 129877, +10.44%, 58.4, 151.3, 2435, 940, 26°13′56″N 98°14′47″W, 
184, Mesquite, Texas, 142816, 139824, +2.14%, 47.2, 122.2, 3045, 1176, 32°45′46″N 96°35′20″W, 
185, Syracuse, New York, 142749, 145170, −1.67%, 25.0, 64.7, 5735, 2214, 43°02′28″N 76°08′37″W, 
186, Midland, Texas, 142344, 111147, +28.07%, 74.4, 192.7, 1809, 698, 32°01′29″N 102°06′49″W, 
187, Pasadena, California, 141371, 137122, +3.10%, 23.0, 59.6, 6176, 2385, 34°09′38″N 118°08′23″W, 
188, Murfreesboro, Tennessee, 141344, 108755, +29.97%, 55.9, 144.8, 2360, 910, 35°51′08″N 86°24′58″W, 
189, Miramar, Florida, 140823, 122041, +15.39%, 29.4, 76.1, 4709, 1818, 25°58′37″N 80°20′09″W, 
190, Dayton, Ohio, 140640, 141527, −0.63%, 55.7, 144.3, 2522, 974, 39°46′39″N 84°11′59″W, 
191, Fullerton, California, 139640, 135161, +3.31%, 22.4, 58.0, 6282, 2425, 33°53′09″N 117°55′41″W, 
192, Olathe, Kansas, 139605, 125872, +10.91%, 60.9, 157.7, 2225, 859, 38°53′03″N 94°49′10″W, 
193, Orange, California, 139484, 136416, +2.25%, 25.4, 65.8, 5532, 2136, 33°47′13″N 117°51′41″W, 
194, Thornton, Colorado, 139436, 118772, +17.40%, 35.7, 92.5, 3829, 1478, 39°55′10″N 104°56′34″W, 
195, Roseville, California, 139117, 118788, +17.11%, 43.0, 111.4, 3085, 1191, 38°46′08″N 121°19′08″W, 
196, Denton, Texas, 138541, 113383, +22.19%, 93.4, 241.9, 1433, 553, 33°13′00″N 97°08′29″W, 
197, Waco, Texas, 138183, 124805, +10.72%, 89.0, 230.5, 1510, 580, 31°33′36″N 97°11′10″W, 
198, Surprise, Arizona, 138161, 117517, +17.57%, 107.9, 279.5, 1230, 470, 33°40′14″N 112°27′10″W, 
199, Carrollton, Texas, 136879, 119097, +14.93%, 36.3, 94.0, 3674, 1419, 32°59′18″N 96°53′59″W, 
200, West Valley City, Utah, 136401, 129480, +5.35%, 35.5, 91.9, 3847, 1485, 40°41′19″N 112°00′42″W, 
201, Charleston, South Carolina, 136208, 120083, +13.43%, 109.0, 282.3, 1233, 476, 32°49′04″N 79°57′32″W, 
202, Warren, Michigan, 134587, 134056, +0.40%, 34.4, 89.1, 3928, 1517, 42°29′34″N 83°01′30″W, 
203, Hampton, Virginia, 134313, 137436, −2.27%, 51.5, 133.4, 2629, 1015, 37°02′53″N 76°17′50″W, 
204, Gainesville, Florida, 133857, 124354, +7.64%, 62.3, 161.4, 2112, 815, 29°40′44″N 82°20′46″W, 
205, Visalia, California, 133800, 124442, +7.52%, 37.5, 97.1, 3495, 1349, 36°19′38″N 119°19′44″W, 
206, Coral Springs, Florida, 133507, 121096, +10.25%, 23.8, 61.6, 5465, 2110, 26°16′15″N 80°15′33″W, 
207, Columbia, South Carolina, 133451, 129272, +3.23%, 133.5, 345.8, 1006, 388, 34°01′45″N 80°53′53″W, 
208, Cedar Rapids, Iowa, 133174, 126326, +5.42%, 70.8, 183.4, 1852, 715, 41°58′01″N 91°40′40″W, 
209, Sterling Heights, Michigan, 132964, 129699, +2.52%, 36.5, 94.5, 3628, 1401, 42°34′52″N 83°01′49″W, 
210, New Haven, Connecticut, 130418, 129779, +0.49%, 18.7, 48.4, 6948, 2683, 41°18′39″N 72°55′30″W, 
211, Stamford, Connecticut, 129775, 122643, +5.82%, 37.6, 97.4, 3434, 1326, 41°04′48″N 73°32′46″W, 
212, Concord, California, 129688, 122067, +6.24%, 30.5, 79.0, 4221, 1630, 37°58′20″N 122°00′06″W, 
213, Kent, Washington, 129618, 92411, +40.26%, 33.7, 87.3, 3784, 1461, 47°23′17″N 122°12′46″W, 
214, Santa Clara, California, 129488, 116468, +11.18%, 18.4, 47.7, 6845, 2643, 37°21′53″N 121°58′04″W, 
215, Elizabeth, New Jersey, 128885, 124969, +3.13%, 12.3, 31.9, 10459, 4038, 40°39′59″N 74°11′37″W, 
216, Round Rock, Texas, 128739, 99887, +28.88%, 35.6, 92.2, 3396, 1311, 30°31′31″N 97°39′58″W, 
217, Thousand Oaks, California, 127690, 126683, +0.79%, 55.2, 143.0, 2335, 902, 34°11′36″N 118°52′27″W, 
218, Lafayette, Louisiana, 126143, 120623, +4.58%, 53.8, 139.3, 2372, 916, 30°12′27″N 92°01′43″W, 
219, Athens, Georgia, 125964, 115452, +9.11%, 116.4, 301.5, 1060, 410, 33°56′59″N 83°22′12″W, 
220, Topeka, Kansas, 125904, 127473, −1.23%, 61.5, 159.3, 2062, 796, 39°02′05″N 95°41′46″W, 
221, Simi Valley, California, 125851, 124237, +1.30%, 41.5, 107.5, 3044, 1175, 34°16′01″N 118°44′55″W, 
