elevation[meters], WeatherDataValidUntil, temperature[°F], temperatureTrend, windDirection, windSpeed, shortForecast
7.9248, 2019-05-26T18:00:00-05:00, 92, None, SE, 5 to 10 mph, Sunny
214.88400000000001, 2019-05-26T18:00:00-04:00, 96, None, W, 5 to 10 mph, Sunny
278.892, 2019-05-26T18:00:00-05:00, 81, None, S, 5 to 10 mph, Slight Chance Showers And Thunderstorms
294.132, 2019-05-26T18:00:00-07:00, 58, None, SW, 5 to 15 mph, Rain Showers Likely
273.1008, 2019-05-26T18:00:00-05:00, 70, falling, E, 3 to 8 mph, Partly Sunny then Chance Rain Showers
338.93760000000003, 2019-05-26T18:00:00-05:00, 84, None, S, 16 mph, Partly Sunny
237.1344, 2019-05-26T18:00:00-05:00, 81, None, S, 9 mph, Scattered Showers And Thunderstorms
531.876, 2019-05-26T18:00:00-05:00, 86, None, S, 15 to 20 mph, Mostly Cloudy
9.144, 2019-05-26T18:00:00-04:00, 97, None, SW, 9 mph, Sunny then Isolated Showers And Thunderstorms
14.020800000000001, 2019-05-26T18:00:00-04:00, 88, None, W, 7 to 15 mph, Mostly Sunny then Slight Chance Rain Showers
907.9992000000001, 2019-05-26T18:00:00-07:00, 56, None, S, 25 to 30 mph, Chance Rain Showers
14.9352, 2019-05-26T18:00:00-05:00, 90, falling, SE, 10 to 15 mph, Mostly Sunny
0.9144000000000001, 2019-05-26T18:00:00-07:00, 57, None, WSW, 10 to 20 mph, Chance Rain Showers
231.95280000000002, 2019-05-26T18:00:00-04:00, 76, falling, SSW, 7 mph, Chance Showers And Thunderstorms
29.8704, 2019-05-26T18:00:00-07:00, 58, None, W, 12 to 16 mph, Chance Showers And Thunderstorms
91.1352, 2019-05-26T18:00:00-04:00, 87, None, W, 12 mph, Mostly Sunny then Chance Showers And Thunderstorms
192.024, 2019-05-26T18:00:00-05:00, 90, None, S, 10 mph, Partly Sunny
879.9576000000001, 2019-05-26T18:00:00-05:00, 86, None, S, 15 mph, Isolated Showers And Thunderstorms
